Input,Output
0.171525-0.343917-0.248737,-0.11212220046256897
0.242114-0.644074-0.272433,-0.08796286022736445
0.534906-0.398501-0.173389,-0.111414654295324
0.492581-0.611593-0.340176,-0.034835313350078584
0.134622-0.219917-0.458206,-0.04800758439218157
0.345523-0.941360-0.269363,-0.11062091307282658
0.151837-0.439991-0.990882,-0.3989255131463011
0.645503-0.397143-0.919771,-0.11386851478863991
0.746912-0.284196-0.226300,-0.13146060864136055
0.170477-0.697032-0.149169,-0.09418956091057398
0.220549-0.297825-0.343555,-0.04694740582651916
0.666014-0.671985-0.246295,-0.10596503573558178
0.046809-0.231360-0.770618,-0.11804825644688696
0.600097-0.725136-0.066089,-0.036377828071632486
0.965995-0.861120-0.566829,-0.05675837155397648
