Input,Output
0.896981-0.725628-0.175404-0.701694,-22.108287785435817
0.889356-0.499588-0.539269-0.508783,-14.601396631953161
0.250946-0.033693-0.145380-0.494932,-11.699932463834426
0.346962-0.006250-0.760564-0.613024,-16.053765110568296
0.124871-0.129770-0.384400-0.287076,-10.069633426012889
0.801303-0.500231-0.706645-0.195103,-15.487082537755288
0.247708-0.060445-0.042186-0.441324,-12.68168497681565
0.746702-0.757092-0.369353-0.206566,-16.02639976898352
0.400665-0.072574-0.886768-0.243842,-17.049234647535723
0.626071-0.586751-0.438806-0.778858,-12.741765988316185
0.957135-0.597644-0.766114-0.776210,-27.316396356142608
0.732812-0.145250-0.476813-0.133366,-13.527648872277506
0.655115-0.072392-0.687152-0.081517,-16.679115197479913
0.219734-0.832031-0.482864-0.082569,-16.50715856428234
0.488594-0.211965-0.939178-0.376192,-17.81799933882949
0.167130-0.876555-0.217240-0.959801,-26.561820829779602
0.216911-0.166086-0.241372-0.770062,-12.758324216781741
0.387488-0.804532-0.751795-0.723827,-19.441557624451722
0.985622-0.666933-0.156783-0.856535,-28.90327367383377
0.037825-0.664853-0.161982-0.253924,-13.702746938161251
0.683486-0.902770-0.335420-0.999483,-29.427091401989347
0.170347-0.756959-0.276520-0.531231,-11.565741989583191
0.859657-0.919592-0.206139-0.097797,-26.857786437773637
0.282138-0.505987-0.530531-0.096302,-7.9667753510303925
0.326076-0.472367-0.453192-0.105887,-6.702089254839066
0.948389-0.894513-0.851638-0.552196,-32.625660215962455
0.664955-0.046566-0.116777-0.793718,-19.98949792679556
0.577766-0.428772-0.425826-0.249007,-4.025542281908162
0.738613-0.482103-0.709366-0.503970,-13.122782331852594
0.854811-0.493965-0.735310-0.808092,-23.139428397634813
